subject,p_accept_10_rich,p_accept_10_poor,p_accept_10_diff,dACC_d1,dACC_d2,dACC_d3,dACC_d4,dACC_H1,dACC_H2,dmPFC_d1,dmPFC_d2,dmPFC_d3,dmPFC_d4,dmPFC_H1,dmPFC_H2,latFP_d1,latFP_d2,latFP_d3,latFP_d4,latFP_H1,latFP_H2,pgACC_d1,pgACC_d2,pgACC_d3,pgACC_d4,pgACC_H1,pgACC_H2,vpgACC_d1,vpgACC_d2,vpgACC_d3,vpgACC_d4,vpgACC_H1,vpgACC_H2,AI_d1,AI_d2,AI_d3,AI_d4,AI_H1,AI_H2
103,0.424242424,0.482758621,0.058516196,0.940148757,1.0126246,0.964763524,0.930920025,0.024614767,-0.081704576,1.032033019,1.004271305,1.023949742,1.01676816,-0.008083277,0.012496856,0.969785663,0.999505573,0.996107758,1.001427579,0.026322095,0.001922006,1.010668363,0.958987368,0.993101456,0.954288831,-0.017566907,-0.004698537,0.977877003,0.991075146,0.984107484,0.914103846,0.00623048,-0.0769713,0.878197235,0.91096686,0.953519206,0.936959696,0.075321971,0.025992837
104,0.2,0.595238095,0.395238095,0.940472995,0.910374471,0.942450253,0.963532276,0.001977258,0.053157805,0.960225425,0.970006267,0.969825826,1.037978292,0.009600402,0.067972026,0.966148675,0.933916111,0.981647418,1.001750957,0.015498743,0.067834847,1.023809861,0.98001694,1.010436191,1.038777174,-0.01337367,0.058760234,1.002000757,1.029571139,0.999651177,1.024767386,-0.00234958,-0.004803753,0.924705338,0.977229849,0.947701625,1.013635674,0.022996288,0.036405825
106,0.653846154,0.75862069,0.104774536,0.967065896,0.97292055,0.994911597,0.994427555,0.0278457,0.021507005,0.969633368,0.978621702,1.016989738,0.975201946,0.047356369,-0.003419756,0.961671761,1.05340315,0.996282389,0.998807802,0.034610628,-0.054595349,0.996454549,1.0498319,1.009779474,0.976884951,0.013324925,-0.072946949,0.998392778,1.014921294,0.986639696,0.979823195,-0.011753082,-0.0350981,0.881265955,0.96066576,0.966319635,0.945582442,0.085053681,-0.015083318
107,0.074074074,0.235294118,0.161220044,0.946622197,0.99230914,0.988965454,0.987134497,0.042343257,-0.005174643,1.029578199,1.05173545,0.91858179,0.917861061,-0.110996409,-0.13387439,0.9994973,1.019897722,1.073310851,0.976189507,0.073813551,-0.043708215,0.989310118,1.012044116,0.9435664,0.97972058,-0.045743718,-0.032323536,1.030617061,1.03453706,0.970714926,1.026130713,-0.059902135,-0.008406347,0.92802005,0.969195911,0.954697954,0.948281492,0.026677904,-0.020914419
109,0.923076923,0.652173913,-0.27090301,0.919493558,1.062342012,1.009023309,0.868723086,0.089529751,-0.193618926,0.829910674,1.021312085,0.974339147,1.019707072,0.144428473,-0.001605013,0.935066147,0.996443768,0.98227983,0.937042782,0.047213683,-0.059400986,0.911273738,0.981217422,0.96598065,0.974765752,0.054706912,-0.00645167,0.945180223,1.019433001,0.958257232,0.980701843,0.013077008,-0.038731158,0.768831104,0.824937208,0.872625681,0.823386859,0.103794577,-0.001550349
110,0.366666667,0.518518519,0.151851852,0.970899037,0.92024263,0.97429604,0.960073432,0.003397003,0.039830802,1.013838782,0.982195539,1.042161098,0.978956256,0.028322316,-0.003239283,1.011510124,0.973986925,1.01712038,1.014327377,0.005610255,0.040340453,0.97364358,0.889519582,1.0158247,0.999698048,0.04218112,0.110178465,0.967630033,0.983605307,1.025268058,1.001637672,0.057638025,0.018032365,0.900098641,0.886267033,0.955174834,0.923427168,0.055076193,0.037160135
111,0.538461538,0.25,-0.288461538,0.990994133,0.972318638,0.960141558,0.83525457,-0.030852575,-0.137064068,1.001864014,0.979067238,1.005905317,1.013897591,0.004041303,0.034830353,0.980781141,0.881650919,0.91626181,0.888193995,-0.064519331,0.006543075,0.97344881,0.947707626,0.977121788,0.939682273,0.003672978,-0.008025353,0.984233164,0.974747186,1.005343725,0.979209357,0.021110561,0.004462171,0.8074227,0.789892521,0.884099912,0.703139462,0.076677212,-0.086753059
114,0.735294118,0.923076923,0.187782805,1.021265226,0.988337587,0.984116785,0.931537114,-0.037148441,-0.056800473,0.997224444,0.97583458,1.075847902,0.920422699,0.078623458,-0.05541188,0.988202283,0.966521393,1.008358507,0.93012407,0.020156224,-0.036397324,1.016708503,0.937028748,1.01868212,0.940318529,0.001973618,0.003289781,1.047956316,0.975258326,1.025296138,0.960929283,-0.022660178,-0.014329043,1.015535722,0.924619098,1.035118638,0.957994596,0.019582916,0.033375498
115,0.652173913,0.8125,0.160326087,0.951195842,0.919485886,0.968987236,0.980387953,0.017791394,0.060902068,0.971869668,0.975781455,0.903653133,0.990682528,-0.068216535,0.014901074,0.986503357,0.984309893,0.964200969,0.947631862,-0.022302388,-0.036678031,1.015726738,0.910243487,0.95954846,1.010106435,-0.056178278,0.099862948000000007,0.985267355,0.964626866,0.952751318,0.992399796,-0.032516036,0.02777293,0.938785178,0.922332936,0.985838794,0.927082546,0.047053616,0.00474961
116,0.290322581,0.416666667,0.126344086,0.99088009,1.001868275,1.008203824,1.023273773,0.017323734,0.021405498,1.039719261,0.959470265,0.981016085,0.969912034,-0.058703176,0.010441768,1.073187536,1.046752657,0.973911467,0.937947553,-0.099276069,-0.108805104,0.981925202,1.110794771,0.90972014,1.014135563,-0.072205062,-0.096659208,1.014530168,1.061661468,0.98030491,0.969961355,-0.034225258,-0.091700113,0.98792289,0.93949008,0.958310614,0.908876406,-0.029612276,-0.030613674
