DRN_custom,GLM,contrast,timelock
0.0494862643998543,GLM_04.2a_low,contr1,offer-timelocked
-0.0962721349081962,GLM_04.2a_low,contr1,offer-timelocked
0.221134099272366,GLM_04.2a_low,contr1,offer-timelocked
0.0626106997958074,GLM_04.2a_low,contr1,offer-timelocked
0,GLM_04.2a_low,contr1,offer-timelocked
0.0300293248570449,GLM_04.2a_low,contr1,offer-timelocked
0.0472398414008426,GLM_04.2a_low,contr1,offer-timelocked
-0.134551095640384,GLM_04.2a_low,contr1,offer-timelocked
-0.00690945048388852,GLM_04.2a_low,contr1,offer-timelocked
0,GLM_04.2a_low,contr1,offer-timelocked
0,GLM_04.2a_low,contr1,offer-timelocked
0.111672531368855,GLM_04.2a_low,contr1,offer-timelocked
-0.0672946335031391,GLM_04.2a_low,contr1,offer-timelocked
0.110177690890532,GLM_04.2a_low,contr1,offer-timelocked
-0.171579108915965,GLM_04.2a_low,contr1,offer-timelocked
-0.0440381524860393,GLM_04.2a_low,contr1,offer-timelocked
-0.0824255601172153,GLM_04.2a_low,contr1,offer-timelocked
-0.109577550694874,GLM_04.2a_low,contr1,offer-timelocked
-0.0139229434488083,GLM_04.2a_low,contr1,offer-timelocked
-0.0447104046511861,GLM_04.2a_low,contr1,offer-timelocked
-0.0280674217401496,GLM_04.2a_low,contr1,offer-timelocked
0,GLM_04.2a_low,contr1,offer-timelocked
0.145157570899351,GLM_04.2a_low,contr1,offer-timelocked
0.123218517211022,GLM_04.2a_low,contr1,offer-timelocked
-0.210890978565331,GLM_04.2a_low,contr1,offer-timelocked
-0.232308094888918,GLM_04.2a_low,contr1,offer-timelocked
0.0304853254892075,GLM_04.2a_low,contr1,offer-timelocked
