DRN_custom,GLM,contrast,timelock
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
-0.00483681921070798,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
-0.0441579067787486,GLM_04.2c_low,contr1,offer-timelocked
-0.0977119176880623,GLM_04.2c_low,contr1,offer-timelocked
-0.233264478113514,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
-0.0287638542300604,GLM_04.2c_low,contr1,offer-timelocked
0.163765603290602,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0.0399399710790809,GLM_04.2c_low,contr1,offer-timelocked
0.0525360482937707,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
-0.0218967550194228,GLM_04.2c_low,contr1,offer-timelocked
0,GLM_04.2c_low,contr1,offer-timelocked
