DRN_custom,LC_Pauli,GLM,contrast,timelock
-0.252800873961374,0.00635673035334971,GLM_04.2c_supp,contr1,offer-timelocked
-0.136463530711927,8.49035238418708e-05,GLM_04.2c_supp,contr1,offer-timelocked
-0.0678923576395822,-0.186417946085383,GLM_04.2c_supp,contr1,offer-timelocked
-0.067971878908299,0.0584600154247932,GLM_04.2c_supp,contr1,offer-timelocked
0.186553487349164,0.0262260812263944,GLM_04.2c_supp,contr1,offer-timelocked
-0.104319152310982,-0.0444851376740007,GLM_04.2c_supp,contr1,offer-timelocked
-0.13627192715541,-0.120379008535356,GLM_04.2c_supp,contr1,offer-timelocked
-0.0439626934318497,0.111868649050032,GLM_04.2c_supp,contr1,offer-timelocked
0,0,GLM_04.2c_supp,contr1,offer-timelocked
-0.124186873475327,-0.00447917744518265,GLM_04.2c_supp,contr1,offer-timelocked
-0.182863960457359,-0.0743707617142923,GLM_04.2c_supp,contr1,offer-timelocked
-0.036401374596447,0.0315581472190171,GLM_04.2c_supp,contr1,offer-timelocked
-0.0235815870257316,0.0402089630374637,GLM_04.2c_supp,contr1,offer-timelocked
0,0,GLM_04.2c_supp,contr1,offer-timelocked
0,0,GLM_04.2c_supp,contr1,offer-timelocked
0.019303266793621,0.0867395535103172,GLM_04.2c_supp,contr1,offer-timelocked
0,0,GLM_04.2c_supp,contr1,offer-timelocked
0,0,GLM_04.2c_supp,contr1,offer-timelocked
-0.248682947906149,-0.0504499125665324,GLM_04.2c_supp,contr1,offer-timelocked
-0.252423996254893,0.139309741279263,GLM_04.2c_supp,contr1,offer-timelocked
0.00821458819399628,-0.00411728741525202,GLM_04.2c_supp,contr1,offer-timelocked
-0.156237481435722,-0.0540622053409018,GLM_04.2c_supp,contr1,offer-timelocked
-0.184281937557273,0.00664680400726009,GLM_04.2c_supp,contr1,offer-timelocked
-0.287666628054812,-0.256191838613452,GLM_04.2c_supp,contr1,offer-timelocked
0.187180805807069,0.139768233314942,GLM_04.2c_supp,contr1,offer-timelocked
0.0101520937581343,-0.0456879801604201,GLM_04.2c_supp,contr1,offer-timelocked
-0.138788347468845,-0.0645475105361091,GLM_04.2c_supp,contr1,offer-timelocked
