DRN_custom,GLM,contrast,timelock
0.179401652136487,GLM_0S5.1_win8,contr1,offer-timelocked
-0.102159661273667,GLM_0S5.1_win8,contr1,offer-timelocked
-0.0236462796476318,GLM_0S5.1_win8,contr1,offer-timelocked
0.0602331128909456,GLM_0S5.1_win8,contr1,offer-timelocked
-0.111983689262102,GLM_0S5.1_win8,contr1,offer-timelocked
0.210301870823444,GLM_0S5.1_win8,contr1,offer-timelocked
0.0469843110123886,GLM_0S5.1_win8,contr1,offer-timelocked
0.153778375429629,GLM_0S5.1_win8,contr1,offer-timelocked
0,GLM_0S5.1_win8,contr1,offer-timelocked
0,GLM_0S5.1_win8,contr1,offer-timelocked
0.477303831928726,GLM_0S5.1_win8,contr1,offer-timelocked
-0.0495339615207876,GLM_0S5.1_win8,contr1,offer-timelocked
-0.0159392242027166,GLM_0S5.1_win8,contr1,offer-timelocked
0,GLM_0S5.1_win8,contr1,offer-timelocked
0,GLM_0S5.1_win8,contr1,offer-timelocked
0,GLM_0S5.1_win8,contr1,offer-timelocked
0,GLM_0S5.1_win8,contr1,offer-timelocked
0,GLM_0S5.1_win8,contr1,offer-timelocked
-0.0030451668120107,GLM_0S5.1_win8,contr1,offer-timelocked
0.0447220874881202,GLM_0S5.1_win8,contr1,offer-timelocked
0.0424805853771224,GLM_0S5.1_win8,contr1,offer-timelocked
0,GLM_0S5.1_win8,contr1,offer-timelocked
0.0726154962157284,GLM_0S5.1_win8,contr1,offer-timelocked
0,GLM_0S5.1_win8,contr1,offer-timelocked
0.0938026805084255,GLM_0S5.1_win8,contr1,offer-timelocked
0.156137595727723,GLM_0S5.1_win8,contr1,offer-timelocked
0.445327132421888,GLM_0S5.1_win8,contr1,offer-timelocked
