env_bin,option,p_opt,option_factor,env_factor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
-1,p_low,0.501,5,Poor
-1,p_mod,0.3333333333333333,10,Poor
-1,p_high,0.16566666666666666,50,Poor
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
1,p_low,0.16766666666666666,5,Rich
1,p_mod,0.3333333333333333,10,Rich
1,p_high,0.499,50,Rich
