p_acc_mod_poor,p_acc_mod_rich,mean_total_rw,mean_total_trials
0.2,0.2,3124.02,189.799
0.2,0.30000000000000004,3107.935,188.488
0.2,0.4,3111.805,186.898
0.2,0.5,3089.615,185.544
0.2,0.6000000000000001,3082.275,184.222
0.2,0.7,3083.81,183.017
0.2,0.8,3074.355,181.761
0.2,0.9000000000000001,3068.705,180.369
0.2,1,3056.29,178.845
0.30000000000000004,0.2,3147.195,187.644
0.30000000000000004,0.30000000000000004,3115.295,186.355
0.30000000000000004,0.4,3119.68,184.898
0.30000000000000004,0.5,3109.01,183.557
0.30000000000000004,0.6000000000000001,3100.42,182.053
0.30000000000000004,0.7,3097.205,180.81
0.30000000000000004,0.8,3068.435,179.683
0.30000000000000004,0.9000000000000001,3062.37,178.351
0.30000000000000004,1,3059.24,176.924
0.4,0.2,3150.3599999999997,185.572
0.4,0.30000000000000004,3132.855,184.272
0.4,0.4,3133.325,182.632
0.4,0.5,3136.245,181.446
0.4,0.6000000000000001,3116.18,179.941
0.4,0.7,3110.9700000000003,178.602
0.4,0.8,3106.785,177.343
0.4,0.9000000000000001,3087.6,176.123
0.4,1,3093.375,174.518
0.5,0.2,3153.66,183.777
0.5,0.30000000000000004,3155.35,182.053
0.5,0.4,3149.335,180.634
0.5,0.5,3138.125,179.381
0.5,0.6000000000000001,3124.7799999999997,178.052
0.5,0.7,3123.955,176.67
0.5,0.8,3112.745,175.325
0.5,0.9000000000000001,3102.725,173.855
0.5,1,3095.36,172.752
0.6000000000000001,0.2,3173.1,181.61
0.6000000000000001,0.30000000000000004,3173.385,180.019
0.6000000000000001,0.4,3153.36,178.738
0.6000000000000001,0.5,3149.76,177.434
0.6000000000000001,0.6000000000000001,3139.445,175.99
0.6000000000000001,0.7,3131.235,174.813
0.6000000000000001,0.8,3130.71,173.133
0.6000000000000001,0.9000000000000001,3112.31,172.185
0.6000000000000001,1,3101.12,170.873
0.7,0.2,3186.225,179.533
0.7,0.30000000000000004,3171.335,178.161
0.7,0.4,3165.81,176.723
0.7,0.5,3162.325,175.315
0.7,0.6000000000000001,3145.83,173.968
0.7,0.7,3138.855,172.805
0.7,0.8,3129.02,171.291
0.7,0.9000000000000001,3136.22,169.958
0.7,1,3129.7,168.543
0.8,0.2,3196.5,177.633
0.8,0.30000000000000004,3177.215,176.16
0.8,0.4,3164.65,174.933
0.8,0.5,3184.025,173.161
0.8,0.6000000000000001,3161.175,171.812
0.8,0.7,3156.685,170.761
0.8,0.8,3144.835,169.496
0.8,0.9000000000000001,3125.435,168.184
0.8,1,3110.335,166.832
0.9000000000000001,0.2,3205.605,175.864
0.9000000000000001,0.30000000000000004,3194.0950000000003,174.186
0.9000000000000001,0.4,3176.88,172.871
0.9000000000000001,0.5,3167.87,171.599
0.9000000000000001,0.6000000000000001,3170.625,170.125
0.9000000000000001,0.7,3160.2200000000003,168.862
0.9000000000000001,0.8,3151.085,167.469
0.9000000000000001,0.9000000000000001,3133.49,166.283
0.9000000000000001,1,3128.17,164.758
1,0.2,3207.295,173.924
1,0.30000000000000004,3200.255,172.531
1,0.4,3188.995,171.04
1,0.5,3192.8,169.503
1,0.6000000000000001,3183.165,168.25
1,0.7,3170.3450000000003,167.126
1,0.8,3158.535,165.641
1,0.9000000000000001,3147.865,164.319
1,1,3148.965,163.01
