env,trial_n_block,mag_factor,m
poor,1,10-points,49.152542372881356
poor,2,10-points,43.24324324324324
poor,3,10-points,56.41025641025641
poor,4,10-points,55.00000000000001
poor,5,10-points,63.26530612244898
poor,6,10-points,54.54545454545454
poor,7,10-points,62.5
poor,8,10-points,75.47169811320755
poor,9,10-points,72.3404255319149
poor,10,10-points,76.59574468085107
poor,11,10-points,75.67567567567568
poor,12,10-points,43.75
poor,13,10-points,61.53846153846154
poor,14,10-points,66.66666666666666
poor,15,10-points,63.829787234042556
poor,16,10-points,73.58490566037736
poor,17,10-points,57.14285714285714
poor,18,10-points,64.28571428571429
poor,19,10-points,56.25
poor,20,10-points,64.28571428571429
poor,21,10-points,25
poor,22,10-points,0
rich,1,10-points,63.1578947368421
rich,2,10-points,59.61538461538461
rich,3,10-points,63.04347826086957
rich,4,10-points,63.829787234042556
rich,5,10-points,55.73770491803278
rich,6,10-points,57.14285714285714
rich,7,10-points,55.55555555555556
rich,8,10-points,38.297872340425535
rich,9,10-points,48.64864864864865
rich,10,10-points,54.166666666666664
rich,11,10-points,60.78431372549019
rich,12,10-points,47.91666666666667
rich,13,10-points,50
rich,14,10-points,54.347826086956516
rich,15,10-points,60.71428571428571
rich,16,10-points,53.84615384615385
rich,17,10-points,41.17647058823529
rich,18,10-points,33.33333333333333
rich,19,10-points,0
rich,20,10-points,0
