env,trial_n_block,mag_factor,m
poor,1,5-points,12.727272727272727
poor,2,5-points,13.513513513513514
poor,3,5-points,8.571428571428571
poor,4,5-points,12
poor,5,5-points,3.076923076923077
poor,6,5-points,5.714285714285714
poor,7,5-points,9.230769230769232
poor,8,5-points,6.557377049180328
poor,9,5-points,8.064516129032258
poor,10,5-points,3.278688524590164
poor,11,5-points,11.267605633802818
poor,12,5-points,9.210526315789473
poor,13,5-points,9.836065573770492
poor,14,5-points,11.475409836065573
poor,15,5-points,19.047619047619047
poor,16,5-points,18.461538461538463
poor,17,5-points,7.2727272727272725
poor,18,5-points,18.181818181818183
poor,19,5-points,14.285714285714285
poor,20,5-points,33.33333333333333
poor,21,5-points,0
rich,1,5-points,17.647058823529413
rich,2,5-points,0
rich,3,5-points,8.695652173913043
rich,4,5-points,5
rich,5,5-points,4.545454545454546
rich,6,5-points,9.523809523809524
rich,7,5-points,0
rich,8,5-points,5.263157894736842
rich,9,5-points,5
rich,10,5-points,0
rich,11,5-points,13.636363636363635
rich,12,5-points,3.7037037037037033
rich,13,5-points,10
rich,14,5-points,14.285714285714285
rich,15,5-points,22.727272727272727
rich,16,5-points,20
rich,17,5-points,0
rich,18,5-points,0
rich,19,5-points,0
