subject,prev_policy,m,prev_choice,m_percent,facet_label,prev_action
103,0,0.15384615384615385,Rej.,15.384615384615385,(ii) Policy,NA
103,1,0.8372093023255814,Purs.,83.72093023255815,(ii) Policy,NA
104,0,0.16129032258064516,Rej.,16.129032258064516,(ii) Policy,NA
104,1,0.8352941176470589,Purs.,83.52941176470588,(ii) Policy,NA
105,0,0.10666666666666667,Rej.,10.666666666666668,(ii) Policy,NA
105,1,0.9259259259259259,Purs.,92.5925925925926,(ii) Policy,NA
106,0,0.23076923076923078,Rej.,23.076923076923077,(ii) Policy,NA
106,1,0.8554216867469879,Purs.,85.54216867469879,(ii) Policy,NA
107,0,0.06796116504854369,Rej.,6.796116504854369,(ii) Policy,NA
107,1,0.8923076923076924,Purs.,89.23076923076924,(ii) Policy,NA
109,0,0.4634146341463415,Rej.,46.34146341463415,(ii) Policy,NA
109,1,0.797979797979798,Purs.,79.7979797979798,(ii) Policy,NA
110,0,0.18518518518518517,Rej.,18.51851851851852,(ii) Policy,NA
110,1,0.7974683544303798,Purs.,79.74683544303798,(ii) Policy,NA
111,0,0.0989010989010989,Rej.,9.89010989010989,(ii) Policy,NA
111,1,0.9027777777777778,Purs.,90.27777777777779,(ii) Policy,NA
112,0,0.024390243902439025,Rej.,2.4390243902439024,(ii) Policy,NA
112,1,0.9629629629629629,Purs.,96.29629629629629,(ii) Policy,NA
114,0,0.15,Rej.,15,(ii) Policy,NA
114,1,0.9120879120879121,Purs.,91.20879120879121,(ii) Policy,NA
115,0,0.25,Rej.,25,(ii) Policy,NA
115,1,0.7976190476190477,Purs.,79.76190476190477,(ii) Policy,NA
116,0,0.1375,Rej.,13.750000000000002,(ii) Policy,NA
116,1,0.8961038961038961,Purs.,89.6103896103896,(ii) Policy,NA
117,0,0.5121951219512195,Rej.,51.21951219512195,(ii) Policy,NA
117,1,0.8137254901960784,Purs.,81.37254901960785,(ii) Policy,NA
118,0,0.48148148148148145,Rej.,48.148148148148145,(ii) Policy,NA
118,1,0.8807339449541285,Purs.,88.07339449541286,(ii) Policy,NA
119,0,0.0784313725490196,Rej.,7.8431372549019605,(ii) Policy,NA
119,1,0.9479166666666666,Purs.,94.79166666666666,(ii) Policy,NA
121,0,0.17857142857142858,Rej.,17.857142857142858,(ii) Policy,NA
121,1,0.9021739130434783,Purs.,90.21739130434783,(ii) Policy,NA
122,0,0.14,Rej.,14.000000000000002,(ii) Policy,NA
122,1,0.9381443298969072,Purs.,93.81443298969072,(ii) Policy,NA
123,0,0.0759493670886076,Rej.,7.59493670886076,(ii) Policy,NA
123,1,0.9146341463414634,Purs.,91.46341463414635,(ii) Policy,NA
124,0,0.1780821917808219,Rej.,17.80821917808219,(ii) Policy,NA
124,1,0.9058823529411765,Purs.,90.58823529411765,(ii) Policy,NA
125,0,0.22666666666666666,Rej.,22.666666666666664,(ii) Policy,NA
125,1,0.8117647058823529,Purs.,81.17647058823529,(ii) Policy,NA
126,0,0.22727272727272727,Rej.,22.727272727272727,(ii) Policy,NA
126,1,0.7662337662337663,Purs.,76.62337662337663,(ii) Policy,NA
128,0,0.12087912087912088,Rej.,12.087912087912088,(ii) Policy,NA
128,1,0.8666666666666667,Purs.,86.66666666666667,(ii) Policy,NA
130,0,0.15384615384615385,Rej.,15.384615384615385,(ii) Policy,NA
130,1,0.7941176470588235,Purs.,79.41176470588235,(ii) Policy,NA
131,0,0.18518518518518517,Rej.,18.51851851851852,(ii) Policy,NA
131,1,0.9479166666666666,Purs.,94.79166666666666,(ii) Policy,NA
132,0,0.1791044776119403,Rej.,17.91044776119403,(ii) Policy,NA
132,1,0.8444444444444444,Purs.,84.44444444444444,(ii) Policy,NA
133,0,0.2222222222222222,Rej.,22.22222222222222,(ii) Policy,NA
133,1,0.8823529411764706,Purs.,88.23529411764706,(ii) Policy,NA
135,0,0.14516129032258066,Rej.,14.516129032258066,(ii) Policy,NA
135,1,0.945054945054945,Purs.,94.5054945054945,(ii) Policy,NA
103,NA,0.4375,Rej.,43.75,(i) Action,0
103,NA,0.5384615384615384,Purs.,53.84615384615385,(i) Action,1
104,NA,0.4742268041237113,Rej.,47.42268041237113,(i) Action,0
104,NA,0.5054945054945055,Purs.,50.54945054945055,(i) Action,1
105,NA,0.4625,Rej.,46.25,(i) Action,0
105,NA,0.5697674418604651,Purs.,56.97674418604651,(i) Action,1
106,NA,0.5522388059701493,Rej.,55.223880597014926,(i) Action,0
106,NA,0.5824175824175825,Purs.,58.24175824175825,(i) Action,1
107,NA,0.3611111111111111,Rej.,36.11111111111111,(i) Action,0
107,NA,0.4142857142857143,Purs.,41.42857142857143,(i) Action,1
109,NA,0.4444444444444444,Rej.,44.44444444444444,(i) Action,0
109,NA,0.8095238095238095,Purs.,80.95238095238095,(i) Action,1
110,NA,0.4942528735632184,Rej.,49.42528735632184,(i) Action,0
