subject,prev_policy,m,m_percent,facet_label
103,Rej.,0.15384615384615385,15.384615384615385,Policy
103,Purs.,0.8372093023255814,83.72093023255815,Policy
104,Rej.,0.16129032258064516,16.129032258064516,Policy
104,Purs.,0.8352941176470589,83.52941176470588,Policy
105,Rej.,0.10666666666666667,10.666666666666668,Policy
105,Purs.,0.9259259259259259,92.5925925925926,Policy
106,Rej.,0.23076923076923078,23.076923076923077,Policy
106,Purs.,0.8554216867469879,85.54216867469879,Policy
107,Rej.,0.06796116504854369,6.796116504854369,Policy
107,Purs.,0.8923076923076924,89.23076923076924,Policy
109,Rej.,0.4634146341463415,46.34146341463415,Policy
109,Purs.,0.797979797979798,79.7979797979798,Policy
110,Rej.,0.18518518518518517,18.51851851851852,Policy
110,Purs.,0.7974683544303798,79.74683544303798,Policy
111,Rej.,0.0989010989010989,9.89010989010989,Policy
111,Purs.,0.9027777777777778,90.27777777777779,Policy
112,Rej.,0.024390243902439025,2.4390243902439024,Policy
112,Purs.,0.9629629629629629,96.29629629629629,Policy
114,Rej.,0.15,15,Policy
114,Purs.,0.9120879120879121,91.20879120879121,Policy
115,Rej.,0.25,25,Policy
115,Purs.,0.7976190476190477,79.76190476190477,Policy
116,Rej.,0.1375,13.750000000000002,Policy
116,Purs.,0.8961038961038961,89.6103896103896,Policy
117,Rej.,0.5121951219512195,51.21951219512195,Policy
117,Purs.,0.8137254901960784,81.37254901960785,Policy
118,Rej.,0.48148148148148145,48.148148148148145,Policy
118,Purs.,0.8807339449541285,88.07339449541286,Policy
119,Rej.,0.0784313725490196,7.8431372549019605,Policy
119,Purs.,0.9479166666666666,94.79166666666666,Policy
121,Rej.,0.17857142857142858,17.857142857142858,Policy
121,Purs.,0.9021739130434783,90.21739130434783,Policy
122,Rej.,0.14,14.000000000000002,Policy
122,Purs.,0.9381443298969072,93.81443298969072,Policy
123,Rej.,0.0759493670886076,7.59493670886076,Policy
123,Purs.,0.9146341463414634,91.46341463414635,Policy
124,Rej.,0.1780821917808219,17.80821917808219,Policy
124,Purs.,0.9058823529411765,90.58823529411765,Policy
125,Rej.,0.22666666666666666,22.666666666666664,Policy
125,Purs.,0.8117647058823529,81.17647058823529,Policy
126,Rej.,0.22727272727272727,22.727272727272727,Policy
126,Purs.,0.7662337662337663,76.62337662337663,Policy
128,Rej.,0.12087912087912088,12.087912087912088,Policy
128,Purs.,0.8666666666666667,86.66666666666667,Policy
130,Rej.,0.15384615384615385,15.384615384615385,Policy
130,Purs.,0.7941176470588235,79.41176470588235,Policy
131,Rej.,0.18518518518518517,18.51851851851852,Policy
131,Purs.,0.9479166666666666,94.79166666666666,Policy
132,Rej.,0.1791044776119403,17.91044776119403,Policy
132,Purs.,0.8444444444444444,84.44444444444444,Policy
133,Rej.,0.2222222222222222,22.22222222222222,Policy
133,Purs.,0.8823529411764706,88.23529411764706,Policy
135,Rej.,0.14516129032258066,14.516129032258066,Policy
135,Purs.,0.945054945054945,94.5054945054945,Policy
