subject,mag,policy_switch_factor,n
103,5,1,3
103,10,1,23
103,50,1,2
104,5,1,1
104,10,1,28
104,50,1,0
105,5,1,2
105,10,1,12
105,50,1,0
106,5,1,2
106,10,1,25
106,50,1,0
107,5,1,1
107,10,1,13
107,50,1,0
109,5,1,23
109,10,1,16
109,50,1,0
110,5,1,4
110,10,1,27
110,50,1,0
111,5,1,2
111,10,1,14
111,50,1,0
112,5,1,1
112,10,1,0
112,50,1,4
114,5,1,0
114,10,1,15
114,50,1,2
115,5,1,0
115,10,1,23
115,50,1,11
116,5,1,1
116,10,1,14
116,50,1,4
117,5,1,19
117,10,1,21
117,50,1,0
118,5,1,24
118,10,1,0
118,50,1,2
119,5,1,3
119,10,1,6
119,50,1,0
121,5,1,5
121,10,1,9
121,50,1,5
122,5,1,7
122,10,1,4
122,50,1,2
123,5,1,9
123,10,1,2
123,50,1,2
124,5,1,4
124,10,1,17
124,50,1,0
125,5,1,12
125,10,1,21
125,50,1,0
126,5,1,2
126,10,1,36
126,50,1,0
128,5,1,1
128,10,1,20
128,50,1,0
130,5,1,4
130,10,1,25
130,50,1,1
131,5,1,4
131,10,1,9
131,50,1,2
132,5,1,3
132,10,1,23
132,50,1,0
133,5,1,7
133,10,1,15
133,50,1,0
135,5,1,10
135,10,1,4
135,50,1,0
