subject,mag,env,switch_type,switch_rate,switch_rate_percent,facet_label
103,10,poor,Purs.,0.2692307692307693,26.923076923076927,(i) Poor env.
103,10,poor,Rej.,0.25925925925925924,25.925925925925924,(i) Poor env.
103,10,rich,Purs.,0.12121212121212122,12.121212121212121,(ii) Rich env.
103,10,rich,Rej.,0.15151515151515152,15.151515151515152,(ii) Rich env.
104,10,poor,Purs.,0.23809523809523805,23.809523809523807,(i) Poor env.
104,10,poor,Rej.,0.20930232558139536,20.930232558139537,(i) Poor env.
104,10,rich,Purs.,0.14814814814814814,14.814814814814813,(ii) Rich env.
104,10,rich,Rej.,0.1851851851851852,18.51851851851852,(ii) Rich env.
105,10,poor,Purs.,0.1379310344827586,13.79310344827586,(i) Poor env.
105,10,poor,Rej.,0.10344827586206898,10.344827586206899,(i) Poor env.
105,10,rich,Purs.,0.07407407407407407,7.4074074074074066,(ii) Rich env.
105,10,rich,Rej.,0.11538461538461538,11.538461538461538,(ii) Rich env.
106,10,poor,Purs.,0.1851851851851852,18.51851851851852,(i) Poor env.
106,10,poor,Rej.,0.20689655172413793,20.689655172413794,(i) Poor env.
106,10,rich,Purs.,0.33333333333333337,33.333333333333336,(ii) Rich env.
106,10,rich,Rej.,0.24,24,(ii) Rich env.
107,10,poor,Purs.,0.1875,18.75,(i) Poor env.
107,10,poor,Rej.,0.1428571428571429,14.28571428571429,(i) Poor env.
107,10,rich,Purs.,0.03448275862068967,3.448275862068967,(ii) Rich env.
107,10,rich,Rej.,0.07142857142857144,7.142857142857144,(ii) Rich env.
109,10,poor,Purs.,0.25,25,(i) Poor env.
109,10,poor,Rej.,0.30434782608695654,30.434782608695656,(i) Poor env.
109,10,rich,Purs.,0.08333333333333333,8.333333333333332,(ii) Rich env.
109,10,rich,Rej.,0.07692307692307694,7.692307692307694,(ii) Rich env.
110,10,poor,Purs.,0.25925925925925924,25.925925925925924,(i) Poor env.
110,10,poor,Rej.,0.25925925925925924,25.925925925925924,(i) Poor env.
110,10,rich,Purs.,0.21428571428571427,21.428571428571427,(ii) Rich env.
110,10,rich,Rej.,0.25925925925925924,25.925925925925924,(ii) Rich env.
111,10,poor,Purs.,0.15384615384615385,15.384615384615385,(i) Poor env.
111,10,poor,Rej.,0.125,12.5,(i) Poor env.
111,10,rich,Purs.,0.15384615384615385,15.384615384615385,(ii) Rich env.
111,10,rich,Rej.,0.11111111111111108,11.111111111111107,(ii) Rich env.
112,10,poor,Purs.,0,0,(i) Poor env.
112,10,poor,Rej.,0,0,(i) Poor env.
112,10,rich,Purs.,0,0,(ii) Rich env.
112,10,rich,Rej.,0,0,(ii) Rich env.
114,10,poor,Purs.,0.08695652173913047,8.695652173913047,(i) Poor env.
114,10,poor,Rej.,0.03999999999999999,3.9999999999999987,(i) Poor env.
114,10,rich,Purs.,0.1764705882352941,17.64705882352941,(ii) Rich env.
114,10,rich,Rej.,0.1818181818181818,18.18181818181818,(ii) Rich env.
115,10,poor,Purs.,0.25806451612903225,25.806451612903224,(i) Poor env.
115,10,poor,Rej.,0.1875,18.75,(i) Poor env.
115,10,rich,Purs.,0.20000000000000004,20.000000000000004,(ii) Rich env.
115,10,rich,Rej.,0.22727272727272727,22.727272727272727,(ii) Rich env.
116,10,poor,Purs.,0.16216216216216214,16.216216216216214,(i) Poor env.
116,10,poor,Rej.,0.11111111111111106,11.111111111111107,(i) Poor env.
116,10,rich,Purs.,0.0689655172413793,6.89655172413793,(ii) Rich env.
116,10,rich,Rej.,0.07407407407407408,7.407407407407408,(ii) Rich env.
117,10,poor,Purs.,0.1739130434782609,17.39130434782609,(i) Poor env.
117,10,poor,Rej.,0.15384615384615385,15.384615384615385,(i) Poor env.
117,10,rich,Purs.,0.22222222222222218,22.222222222222218,(ii) Rich env.
117,10,rich,Rej.,0.24137931034482757,24.137931034482758,(ii) Rich env.
118,10,poor,Purs.,0,0,(i) Poor env.
118,10,poor,Rej.,0,0,(i) Poor env.
118,10,rich,Purs.,0,0,(ii) Rich env.
118,10,rich,Rej.,0,0,(ii) Rich env.
119,10,poor,Purs.,0.1,10,(i) Poor env.
119,10,poor,Rej.,0.09375,9.375,(i) Poor env.
119,10,rich,Purs.,0,0,(ii) Rich env.
119,10,rich,Rej.,0,0,(ii) Rich env.
121,10,poor,Purs.,0.037037037037037035,3.7037037037037033,(i) Poor env.
121,10,poor,Rej.,0.03448275862068965,3.448275862068965,(i) Poor env.
121,10,rich,Purs.,0.17391304347826086,17.391304347826086,(ii) Rich env.
121,10,rich,Rej.,0.125,12.5,(ii) Rich env.
122,10,poor,Purs.,0.057142857142857134,5.7142857142857135,(i) Poor env.
122,10,poor,Rej.,0.05405405405405406,5.405405405405405,(i) Poor env.
122,10,rich,Purs.,0,0,(ii) Rich env.
122,10,rich,Rej.,0,0,(ii) Rich env.
123,10,poor,Purs.,0.03846153846153847,3.846153846153847,(i) Poor env.
123,10,poor,Rej.,0.03846153846153847,3.846153846153847,(i) Poor env.
123,10,rich,Purs.,0,0,(ii) Rich env.
123,10,rich,Rej.,0,0,(ii) Rich env.
124,10,poor,Purs.,0.19230769230769232,19.230769230769234,(i) Poor env.
124,10,poor,Rej.,0.15384615384615388,15.384615384615389,(i) Poor env.
124,10,rich,Purs.,0.19230769230769232,19.230769230769234,(ii) Rich env.
124,10,rich,Rej.,0.12,12,(ii) Rich env.
125,10,poor,Purs.,0.20689655172413796,20.689655172413797,(i) Poor env.
125,10,poor,Rej.,0.20689655172413796,20.689655172413797,(i) Poor env.
125,10,rich,Purs.,0.20000000000000004,20.000000000000004,(ii) Rich env.
125,10,rich,Rej.,0.15384615384615385,15.384615384615385,(ii) Rich env.
126,10,poor,Purs.,0.3548387096774194,35.483870967741936,(i) Poor env.
126,10,poor,Rej.,0.2903225806451613,29.03225806451613,(i) Poor env.
126,10,rich,Purs.,0.2352941176470588,23.52941176470588,(ii) Rich env.
126,10,rich,Rej.,0.24242424242424243,24.242424242424242,(ii) Rich env.
128,10,poor,Purs.,0.20833333333333331,20.833333333333332,(i) Poor env.
128,10,poor,Rej.,0.17391304347826086,17.391304347826086,(i) Poor env.
128,10,rich,Purs.,0.23076923076923075,23.076923076923077,(ii) Rich env.
128,10,rich,Rej.,0.19230769230769232,19.230769230769234,(ii) Rich env.
130,10,poor,Purs.,0.1818181818181818,18.18181818181818,(i) Poor env.
130,10,poor,Rej.,0.2121212121212121,21.21212121212121,(i) Poor env.
130,10,rich,Purs.,0.2058823529411765,20.58823529411765,(ii) Rich env.
130,10,rich,Rej.,0.16129032258064516,16.129032258064516,(ii) Rich env.
131,10,poor,Purs.,0.0625,6.25,(i) Poor env.
131,10,poor,Rej.,0.02941176470588235,2.941176470588235,(i) Poor env.
131,10,rich,Purs.,0.13043478260869565,13.043478260869565,(ii) Rich env.
131,10,rich,Rej.,0.13636363636363638,13.636363636363638,(ii) Rich env.
132,10,poor,Purs.,0.25,25,(i) Poor env.
132,10,poor,Rej.,0.1764705882352941,17.64705882352941,(i) Poor env.
132,10,rich,Purs.,0.11111111111111109,11.111111111111109,(ii) Rich env.
132,10,rich,Rej.,0.21428571428571427,21.428571428571427,(ii) Rich env.
133,10,poor,Purs.,0.11999999999999998,11.999999999999998,(i) Poor env.
133,10,poor,Rej.,0.1428571428571429,14.28571428571429,(i) Poor env.
133,10,rich,Purs.,0.1379310344827586,13.79310344827586,(ii) Rich env.
133,10,rich,Rej.,0.12903225806451613,12.903225806451612,(ii) Rich env.
135,10,poor,Purs.,0.04166666666666668,4.166666666666668,(i) Poor env.
135,10,poor,Rej.,0.03703703703703705,3.703703703703705,(i) Poor env.
135,10,rich,Purs.,0.04347826086956523,4.347826086956523,(ii) Rich env.
135,10,rich,Rej.,0.039999999999999994,3.9999999999999996,(ii) Rich env.
