GLM,contrast,timelock,region,peak
GLM_04.1,contr1,offer-timelocked,MBD,0.00751842965851192
GLM_04.1,contr1,offer-timelocked,DRN,0.0282853699865042
GLM_04.1,contr1,offer-timelocked,LC,0.0125193288956622
GLM_04.1,contr1,offer-timelocked,MS,-0.0334771558892855
GLM_04.1,contr1,offer-timelocked,MBD,-0.0489567109056679
GLM_04.1,contr1,offer-timelocked,DRN,-0.0756543323580864
GLM_04.1,contr1,offer-timelocked,LC,-0.0653483280534248
GLM_04.1,contr1,offer-timelocked,MS,7.09718596665207e-4
GLM_04.1,contr1,offer-timelocked,MBD,0.0265847523381446
GLM_04.1,contr1,offer-timelocked,DRN,-0.0122495717854995
GLM_04.1,contr1,offer-timelocked,LC,-0.0171909794195441
GLM_04.1,contr1,offer-timelocked,MS,0.0398810384471807
GLM_04.1,contr1,offer-timelocked,MBD,-0.130356985048005
GLM_04.1,contr1,offer-timelocked,DRN,0.031030589561371
GLM_04.1,contr1,offer-timelocked,LC,0.00528272355139256
GLM_04.1,contr1,offer-timelocked,MS,-0.0381917343410506
GLM_04.1,contr1,offer-timelocked,MBD,-0.12657508204293
GLM_04.1,contr1,offer-timelocked,DRN,-0.0439167623120903
GLM_04.1,contr1,offer-timelocked,LC,-0.111369321115472
GLM_04.1,contr1,offer-timelocked,MS,-0.0871248994387575
GLM_04.1,contr1,offer-timelocked,MBD,0.0176395171071092
GLM_04.1,contr1,offer-timelocked,DRN,0.064576882019683
GLM_04.1,contr1,offer-timelocked,LC,0.0112395433740479
GLM_04.1,contr1,offer-timelocked,MS,0.0975461126082364
GLM_04.1,contr1,offer-timelocked,MBD,0.0233168136007751
GLM_04.1,contr1,offer-timelocked,DRN,0.00140796841580388
GLM_04.1,contr1,offer-timelocked,LC,0.0428663476507039
GLM_04.1,contr1,offer-timelocked,MS,-0.0306040330551026
GLM_04.1,contr1,offer-timelocked,MBD,0.0453047673691997
GLM_04.1,contr1,offer-timelocked,DRN,0.0390723019884918
GLM_04.1,contr1,offer-timelocked,LC,-0.0769269251674424
GLM_04.1,contr1,offer-timelocked,MS,-0.0504075954698563
GLM_04.1,contr1,offer-timelocked,MBD,-0.00374660079601499
GLM_04.1,contr1,offer-timelocked,DRN,0.0429077251137112
GLM_04.1,contr1,offer-timelocked,LC,0.0241860074484705
GLM_04.1,contr1,offer-timelocked,MS,0.105513676141357
GLM_04.1,contr1,offer-timelocked,MBD,0.0116871331667159
GLM_04.1,contr1,offer-timelocked,DRN,-0.0462660302347078
GLM_04.1,contr1,offer-timelocked,LC,-0.0634244106517829
GLM_04.1,contr1,offer-timelocked,MS,-0.0758592159755608
GLM_04.1,contr1,offer-timelocked,MBD,0.0529863752814873
GLM_04.1,contr1,offer-timelocked,DRN,0.166654441709514
GLM_04.1,contr1,offer-timelocked,LC,0.083561084698625
GLM_04.1,contr1,offer-timelocked,MS,0.0686395398152794
GLM_04.1,contr1,offer-timelocked,MBD,0.0751164606545871
GLM_04.1,contr1,offer-timelocked,DRN,0.1083062663499
GLM_04.1,contr1,offer-timelocked,LC,0.0385350281557526
GLM_04.1,contr1,offer-timelocked,MS,0.0077022721067141
GLM_04.1,contr1,offer-timelocked,MBD,0.0784154759622995
GLM_04.1,contr1,offer-timelocked,DRN,0.0753430668663194
GLM_04.1,contr1,offer-timelocked,LC,0.06801988527736
GLM_04.1,contr1,offer-timelocked,MS,0.00485056856082704
GLM_04.1,contr1,offer-timelocked,MBD,-0.032208835033325
GLM_04.1,contr1,offer-timelocked,DRN,0.140873392484102
GLM_04.1,contr1,offer-timelocked,LC,0.193093068584679
GLM_04.1,contr1,offer-timelocked,MS,0.0137323865701698
GLM_04.1,contr1,offer-timelocked,MBD,0.0298987459080995
GLM_04.1,contr1,offer-timelocked,DRN,0.0622492579428602
GLM_04.1,contr1,offer-timelocked,LC,0.175001655456381
GLM_04.1,contr1,offer-timelocked,MS,0.147040988070323
GLM_04.1,contr1,offer-timelocked,MBD,0.00463263810657445
GLM_04.1,contr1,offer-timelocked,DRN,0.159527806618968
GLM_04.1,contr1,offer-timelocked,LC,0.132514670244465
GLM_04.1,contr1,offer-timelocked,MS,0.121496850937076
GLM_04.1,contr1,offer-timelocked,MBD,0.0069696965352703
GLM_04.1,contr1,offer-timelocked,DRN,-0.0035898587733828
