GLM,contrast,timelock,region,peak,facet_label
GLM_04.2a,contr1,offer-timelocked,DRN,0.12994580444682,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.00957037935306364,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0359278493323242,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0712521920648263,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0705435956533345,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.290867173501329,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0557146474423247,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0150085793160537,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.295451709471305,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.466450571586544,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0835404126600722,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0508860173241551,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.104104721738262,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.283813184128727,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.276875053840222,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0293960845538821,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0824085849113954,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0110923150918667,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0926752157455587,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0371045004870935,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0877481794645878,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.217713160233995,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.177297220027057,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0565028181849779,(ii)
GLM_04.2a,contr1,offer-timelocked,DRN,0.52363857291599,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.0349889778410175,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,-0.0178830729620917,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.103685676696868,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.0249161885427999,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,-0.161989936219528,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.0136734134435149,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,-0.0998378671038424,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.0561883893799044,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.0724556622308201,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,-0.12569348650067,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.0500676887373752,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,-0.0731171349430334,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,-1.53761192767636e-4,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,-0.0915788325518192,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.158427056456619,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,-0.118025367943994,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,-0.0166805988067154,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.160558362949901,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.106061912948128,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.0638896053195632,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,-0.0668439689188754,(ii)
GLM_04.2b,contr1,offer-timelocked,DRN,0.00859047048140731,(ii)
