GLM,contrast,timelock,region,peak,facet_label
GLM_04.2c,contr1,offer-timelocked,DRN,-0.252800873961374,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.136463530711927,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.0678923576395822,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.067971878908299,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,0.186553487349164,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.104319152310982,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.13627192715541,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.0439626934318497,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.124186873475327,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.182863960457359,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.036401374596447,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.0235815870257316,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,0.019303266793621002,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,0,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.248682947906149,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.252423996254893,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,0.00821458819399628,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.156237481435722,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.184281937557273,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.287666628054812,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,0.187180805807069,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,0.0101520937581343,(iii)
GLM_04.2c,contr1,offer-timelocked,DRN,-0.138788347468845,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,0.0644754510758864,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.0447643295637106,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.117867510299273,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,0.0109182336523885,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.0585714661072544,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.249710429907789,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.117649256811631,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,0.0403541714642527,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,0,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,0.0456021854073064,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.167687228717639,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.161460968897204,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.291935941351317,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,0,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,0.189921555036291,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,0.0845019549322542,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.0314168859644974,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.141954302973749,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,0.0654211016945589,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.0396241354271535,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.018293661902465,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,0.289000843089359,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.0537952286074017,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.187621769398718,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.138447584274679,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.0356571728909355,(iii)
GLM_04.2d,contr1,offer-timelocked,DRN,-0.109123361203151,(iii)
