GLM,contrast,timelock,region,peak,facet_label
GLM_04.2a,contr1,offer-timelocked,DRN,0.12994580444682,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.00957037935306364,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0359278493323242,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0712521920648263,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0705435956533345,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.290867173501329,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0557146474423247,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0150085793160537,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.295451709471305,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.466450571586544,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0835404126600722,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0508860173241551,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.104104721738262,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.283813184128727,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.276875053840222,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0293960845538821,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0824085849113954,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0110923150918667,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0926752157455587,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0371045004870935,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,-0.0877481794645878,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.217713160233995,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.177297220027057,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.0565028181849779,(iv)
GLM_04.2a,contr1,offer-timelocked,DRN,0.52363857291599,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0.0494862643998543,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.0962721349081962,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0.221134099272366,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0.0626106997958074,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0.0300293248570449,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0.0472398414008426,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.134551095640384,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.00690945048388852,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0.111672531368855,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.0672946335031391,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0.110177690890532,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.171579108915965,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.0440381524860393,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.0824255601172153,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.109577550694874,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.0139229434488083,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.0447104046511861,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.0280674217401496,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0.145157570899351,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0.123218517211022,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.210890978565331,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,-0.232308094888918,(iv)
GLM_04.2a_low,contr1,offer-timelocked,DRN,0.0304853254892075,(iv)
