mean_split,opt_1,opt_2,env,mean_d_val,mean_split_label,env_label,opt1_factor,opt2_factor
non-adaptive,low,low,poor,NA,Non-adaptive,Poor,low,low
non-adaptive,low,low,rich,NA,Non-adaptive,Rich,low,low
non-adaptive,low,mid,poor,0.9541105378888889,Non-adaptive,Poor,low,mid
non-adaptive,low,mid,rich,0.9527545061111111,Non-adaptive,Rich,low,mid
non-adaptive,low,high,poor,NA,Non-adaptive,Poor,low,high
non-adaptive,low,high,rich,NA,Non-adaptive,Rich,low,high
non-adaptive,mid,low,poor,0.9541105378888889,Non-adaptive,Poor,mid,low
non-adaptive,mid,low,rich,0.9527545061111111,Non-adaptive,Rich,mid,low
non-adaptive,mid,mid,poor,NA,Non-adaptive,Poor,mid,mid
non-adaptive,mid,mid,rich,NA,Non-adaptive,Rich,mid,mid
non-adaptive,mid,high,poor,1.004903246,Non-adaptive,Poor,mid,high
non-adaptive,mid,high,rich,0.9196192534444444,Non-adaptive,Rich,mid,high
non-adaptive,high,low,poor,NA,Non-adaptive,Poor,high,low
non-adaptive,high,low,rich,NA,Non-adaptive,Rich,high,low
non-adaptive,high,mid,poor,1.004903246,Non-adaptive,Poor,high,mid
non-adaptive,high,mid,rich,0.9196192534444444,Non-adaptive,Rich,high,mid
non-adaptive,high,high,poor,NA,Non-adaptive,Poor,high,high
non-adaptive,high,high,rich,NA,Non-adaptive,Rich,high,high
adaptive,low,low,poor,NA,Adaptive,Poor,low,low
adaptive,low,low,rich,NA,Adaptive,Rich,low,low
adaptive,low,mid,poor,0.9520347151428571,Adaptive,Poor,low,mid
adaptive,low,mid,rich,0.9695379538571428,Adaptive,Rich,low,mid
adaptive,low,high,poor,NA,Adaptive,Poor,low,high
adaptive,low,high,rich,NA,Adaptive,Rich,low,high
adaptive,mid,low,poor,0.9520347151428571,Adaptive,Poor,mid,low
adaptive,mid,low,rich,0.9695379538571428,Adaptive,Rich,mid,low
adaptive,mid,mid,poor,NA,Adaptive,Poor,mid,mid
adaptive,mid,mid,rich,NA,Adaptive,Rich,mid,mid
adaptive,mid,high,poor,0.9288931974285715,Adaptive,Poor,mid,high
adaptive,mid,high,rich,0.965381061,Adaptive,Rich,mid,high
adaptive,high,low,poor,NA,Adaptive,Poor,high,low
adaptive,high,low,rich,NA,Adaptive,Rich,high,low
adaptive,high,mid,poor,0.9288931974285715,Adaptive,Poor,high,mid
adaptive,high,mid,rich,0.965381061,Adaptive,Rich,high,mid
adaptive,high,high,poor,NA,Adaptive,Poor,high,high
adaptive,high,high,rich,NA,Adaptive,Rich,high,high
