subject,p_accept_10_diff,dACC_H2,constant
103,0.058516196,-0.033264522,1
104,0.395238095,0.041838137,1
106,0.104774536,0.031676658,1
107,0.161220044,-0.010002553,1
109,-0.27090301,-0.246412349,1
110,0.151851852,0.107379322,1
111,-0.288461538,-0.127455663,1
114,0.187782805,-0.012884655,1
115,0.160326087,0.133810262,1
116,0.126344086,0.002620789,1
117,0.087533156,0.001947417,1
119,-0.096774194,-0.028851479,1
121,0.165517241,-0.008677803,1
122,-0.081081081,-0.162722077,1
123,0,-0.14132164,1
124,0.101648352,0.182226647,1
125,0.26674938,0.003399333,1
128,-0.10962963,0.009855686,1
130,0.058823529,0.107548818,1
131,0.146583851,-0.036787758,1
132,-0.074074074,-0.007063334,1
133,-0.056451613,-0.030236,1
135,0.002962963,-0.033349077,1
