mean_split,opt_1,opt_2,env,mean_d_val
adaptive,low,low,poor,NA
adaptive,low,low,rich,NA
adaptive,low,mid,poor,0.9520347151428571
adaptive,low,mid,rich,0.9695379538571428
adaptive,low,high,poor,NA
adaptive,low,high,rich,NA
adaptive,mid,low,poor,0.9520347151428571
adaptive,mid,low,rich,0.9695379538571428
adaptive,mid,mid,poor,NA
adaptive,mid,mid,rich,NA
adaptive,mid,high,poor,0.9288931974285715
adaptive,mid,high,rich,0.965381061
adaptive,high,low,poor,NA
adaptive,high,low,rich,NA
adaptive,high,mid,poor,0.9288931974285715
adaptive,high,mid,rich,0.965381061
adaptive,high,high,poor,NA
adaptive,high,high,rich,NA
