mean_split,opt_1,opt_2,env,mean_d_val
adaptive,low,low,poor,NA
adaptive,low,low,rich,NA
adaptive,low,mid,poor,0.8997694772857143
adaptive,low,mid,rich,0.9282764804285715
adaptive,low,high,poor,NA
adaptive,low,high,rich,NA
adaptive,mid,low,poor,0.8997694772857143
adaptive,mid,low,rich,0.9282764804285715
adaptive,mid,mid,poor,NA
adaptive,mid,mid,rich,NA
adaptive,mid,high,poor,0.8845470838571429
adaptive,mid,high,rich,0.9012573521428572
adaptive,high,low,poor,NA
adaptive,high,low,rich,NA
adaptive,high,mid,poor,0.8845470838571429
adaptive,high,mid,rich,0.9012573521428572
adaptive,high,high,poor,NA
adaptive,high,high,rich,NA
