GLM,contrast,timelock,region,peak
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.12994580444682
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.0426656638445294
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,0.0864959969781115
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,-0.00957037935306364
GLM_04.2a_cortex,contr1,offer-timelocked,AI,-0.20735231791925
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,-0.056720010794758
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,-0.0359278493323242
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.273063393793759
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,0.00526205326929669
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.0712521920648263
GLM_04.2a_cortex,contr1,offer-timelocked,AI,-0.013974956211504
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,0.0209404725883063
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,-0.0705435956533345
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.0501029831959458
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,-0.156219526951286
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.290867173501329
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.382494737311593
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,-0.170271419203411
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.0557146474423247
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.166998142888249
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,0.238138954022973
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,-0.0150085793160537
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.0917145706582344
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,0.251595257433942
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,0
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,-0.295451709471305
GLM_04.2a_cortex,contr1,offer-timelocked,AI,-0.290306544627185
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,-0.300651202515562
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.466450571586544
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.0381716182441043
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,0.0238936591490086
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.0835404126600722
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.199392792993272
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,0.0525237246492668
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.0508860173241551
GLM_04.2a_cortex,contr1,offer-timelocked,AI,-0.161151482360404
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,0.0373952640219959
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,0
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.104104721738262
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.0295181872509232
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,-0.0218741978406748
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.283813184128727
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.266400384429276
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,-0.0610473961490982
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.276875053840222
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.0605594373780863
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,-0.00564127226818077
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.0293960845538821
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.0114624102009673
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,0.027789622767423
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.0824085849113954
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.128514717557726
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,-0.0134005345965898
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,-0.0110923150918667
GLM_04.2a_cortex,contr1,offer-timelocked,AI,-0.0154940313366768
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,-0.209731444582743
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,-0.0926752157455587
GLM_04.2a_cortex,contr1,offer-timelocked,AI,-0.0131855041326953
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,-0.165485177357007
GLM_04.2a_cortex,contr1,offer-timelocked,DRN,0.0371045004870935
GLM_04.2a_cortex,contr1,offer-timelocked,AI,0.0938021394104028
GLM_04.2a_cortex,contr1,offer-timelocked,dACC,-0.0412428391682128
