subject,env_bin,m_trials,env_factor
103,-1,20.2,Poor
103,1,18,Rich
104,-1,20.2,Poor
104,1,17.8,Rich
105,-1,18.2,Poor
105,1,15.8,Rich
106,-1,17.6,Poor
106,1,14.8,Rich
107,-1,19.2,Poor
107,1,17,Rich
109,-1,16.8,Poor
109,1,13.8,Rich
110,-1,18.8,Poor
110,1,15.8,Rich
111,-1,19,Poor
111,1,16,Rich
112,-1,20.2,Poor
112,1,17.8,Rich
114,-1,17.2,Poor
114,1,15.6,Rich
115,-1,17.4,Poor
115,1,15.6,Rich
116,-1,18,Poor
116,1,15.8,Rich
117,-1,15.8,Poor
117,1,15.6,Rich
118,-1,15.6,Poor
118,1,14.2,Rich
119,-1,17,Poor
119,1,15,Rich
121,-1,17,Poor
121,1,15.2,Rich
122,-1,17.4,Poor
122,1,14.8,Rich
123,-1,18.8,Poor
123,1,16.2,Rich
124,-1,18.4,Poor
124,1,15.8,Rich
125,-1,17.8,Poor
125,1,16.8,Rich
126,-1,18.6,Poor
126,1,17,Rich
128,-1,18.6,Poor
128,1,16.8,Rich
130,-1,20.2,Poor
130,1,17,Rich
131,-1,17,Poor
131,1,15.4,Rich
132,-1,17.6,Poor
132,1,16.2,Rich
133,-1,16.8,Poor
133,1,15.4,Rich
135,-1,18.2,Poor
135,1,15.4,Rich
