subject,mag,poor,rich,env_diff
103,5,0.05636363636363637,0,5.636363636363638
103,10,0.5104761904761904,0.3829365079365079,12.753968253968251
103,50,1,0.975,2.500000000000002
104,5,0.02,0,2
104,10,0.5971861471861472,0.24000000000000002,35.71861471861472
104,50,1,1,0
105,5,0.04,0.1,-6.000000000000001
105,10,0.5377777777777778,0.4857142857142857,5.206349206349209
105,50,1,1,0
106,5,0.042222222222222223,0,4.222222222222222
106,10,0.7447619047619047,0.6366666666666666,10.809523809523814
106,50,1,1,0
107,5,0.06666666666666667,0,6.666666666666667
107,10,0.21428571428571427,0.0619047619047619,15.238095238095237
107,50,1,1,0
109,5,0.2986446886446886,0.75,-45.13553113553114
109,10,0.6976190476190476,0.9416666666666667,-24.404761904761905
109,50,1,1,0
110,5,0.06,0,6
110,10,0.47857142857142854,0.3676190476190476,11.095238095238091
110,50,1,1,0
111,5,0.04444444444444444,0,4.444444444444444
111,10,0.26571428571428574,0.5583333333333333,-29.261904761904763
111,50,1,1,0
112,5,0.02222222222222222,0,2.222222222222222
112,10,0,0,0
112,50,1,0.9568181818181818,4.318181818181821
114,5,0,0,0
114,10,0.92,0.7216666666666667,19.833333333333336
114,50,0.95,1,-5.000000000000004
115,5,0,0,0
115,10,0.8047619047619048,0.6742857142857143,13.047619047619053
115,50,0.95,0.8333333333333334,11.666666666666659
116,5,0.22000000000000003,0.2,2.0000000000000018
116,10,0.4861111111111111,0.2733333333333333,21.27777777777778
116,50,1,0.9222222222222223,7.777777777777772
117,5,0.45560606060606057,0.0625,39.310606060606055
117,10,0.8933333333333333,0.7933333333333333,9.999999999999998
117,50,1,1,0
118,5,0.4174603174603175,0.16666666666666666,25.07936507936508
118,10,1,1,0
118,50,0.96,1,-4.0000000000000036
119,5,0.02857142857142857,0.05,-2.1428571428571432
119,10,0.9095238095238095,1,-9.04761904761905
119,50,1,1,0
121,5,0.09,0,9
121,10,0.9714285714285714,0.8,17.14285714285714
121,50,0.95,0.9555555555555556,-0.5555555555555647
122,5,0.10937950937950938,0.05,5.937950937950938
122,10,0.9214285714285714,1,-7.857142857142863
122,50,1,0.9714285714285714,2.857142857142858
123,5,0.14666666666666667,0.26,-11.333333333333334
123,10,0.44,0.4,3.9999999999999982
123,50,1,0.9818181818181818,1.8181818181818188
124,5,0.058888888888888886,0,5.888888888888888
124,10,0.7083333333333334,0.5433333333333333,16.500000000000004
124,50,1,1,0
125,5,0.11493506493506493,0.1,1.4935064935064926
125,10,0.6253968253968254,0.3057142857142857,31.96825396825397
125,50,1,1,0
126,5,0.02222222222222222,0,2.222222222222222
126,10,0.6476190476190476,0.30714285714285716,34.04761904761905
126,50,1,1,0
128,5,0.05,0,5
128,10,0.35,0.539047619047619,-18.9047619047619
128,50,1,1,0
130,5,0.033566433566433566,0,3.3566433566433567
130,10,0.2738095238095238,0.24,3.3809523809523787
130,50,0.95,1,-5.000000000000004
131,5,0.1438095238095238,0.06666666666666667,7.7142857142857135
131,10,0.8778571428571429,0.7028571428571428,17.500000000000004
131,50,0.9333333333333333,1,-6.666666666666665
132,5,0.04,0,4
132,10,0.74,0.7066666666666667,3.3333333333333326
132,50,1,1,0
133,5,0.3333333333333333,0.15,18.333333333333332
133,10,0.7542857142857143,0.7642857142857142,-0.9999999999999898
133,50,1,1,0
135,5,0.10757575757575757,0.25,-14.242424242424242
135,10,0.975,0.96,1.5000000000000013
135,50,1,1,0
