subject,env_bin,mean_trial_switch
103,Poor,13.571428571428571
103,Rich,9.6
104,Poor,11.4
104,Rich,9.4
105,Poor,7.5
105,Rich,7.666666666666667
106,Poor,9
106,Rich,6.166666666666667
107,Poor,12.666666666666666
107,Rich,6
109,Poor,11.2
109,Rich,9
110,Poor,9.714285714285714
110,Rich,11.142857142857142
111,Poor,11.5
111,Rich,6
114,Poor,5
114,Rich,11
115,Poor,9.75
115,Rich,8.8
116,Poor,8.5
116,Rich,10
117,Poor,8.75
117,Rich,9.142857142857142
119,Poor,12.333333333333334
121,Poor,15
121,Rich,4.333333333333333
122,Poor,9.5
123,Poor,18
124,Poor,11.2
124,Rich,4.666666666666667
125,Poor,9.166666666666666
125,Rich,6.5
126,Poor,12.545454545454545
126,Rich,7.5
128,Poor,14.2
128,Rich,8
130,Poor,11.166666666666666
130,Rich,11
131,Poor,5
131,Rich,9.666666666666666
132,Poor,11.875
132,Rich,8.833333333333334
133,Poor,12.333333333333334
133,Rich,6.5
135,Poor,8
135,Rich,1
