m,se,region,glm,contrast,timepoint
-0.00587462989799422,0.016761220465169,DRN,GLM_0S5.3,contr_1,-2
-0.00292603765686094,0.0167356831260454,DRN,GLM_0S5.3,contr_1,-1.9107142857142858
1.71985375724312e-4,0.0166919817838518,DRN,GLM_0S5.3,contr_1,-1.8214285714285714
0.00337598669822171,0.0166302240299447,DRN,GLM_0S5.3,contr_1,-1.7321428571428572
0.00663982663265175,0.0165521540252174,DRN,GLM_0S5.3,contr_1,-1.6428571428571428
0.00991874283383687,0.016461896133916,DRN,GLM_0S5.3,contr_1,-1.5535714285714286
0.0131676011694194,0.0163643165413522,DRN,GLM_0S5.3,contr_1,-1.4642857142857144
0.0163429327267649,0.0162651257983047,DRN,GLM_0S5.3,contr_1,-1.375
0.0194045004247278,0.0161689215081168,DRN,GLM_0S5.3,contr_1,-1.2857142857142858
0.0223054461936217,0.0160791033735412,DRN,GLM_0S5.3,contr_1,-1.1964285714285714
0.0249947040248821,0.0159995086304057,DRN,GLM_0S5.3,contr_1,-1.1071428571428572
0.0274251599713555,0.015933382148033,DRN,GLM_0S5.3,contr_1,-1.0178571428571428
0.0295570361061108,0.0158839950484463,DRN,GLM_0S5.3,contr_1,-0.9285714285714286
0.0313553641940447,0.0158535361402799,DRN,GLM_0S5.3,contr_1,-0.8392857142857142
0.0327917573985733,0.0158435287774245,DRN,GLM_0S5.3,contr_1,-0.75
0.0338466488823493,0.0158554908829413,DRN,GLM_0S5.3,contr_1,-0.6607142857142858
0.0345130453611817,0.0158896540597718,DRN,GLM_0S5.3,contr_1,-0.5714285714285716
0.03478797359007,0.0159427725987913,DRN,GLM_0S5.3,contr_1,-0.4821428571428572
0.0346738026236643,0.0160088351091362,DRN,GLM_0S5.3,contr_1,-0.3928571428571428
0.0341812315760901,0.0160808913398812,DRN,GLM_0S5.3,contr_1,-0.3035714285714284
0.0333316521004457,0.0161516606572992,DRN,GLM_0S5.3,contr_1,-0.2142857142857142
0.0321567720858407,0.0162138020892247,DRN,GLM_0S5.3,contr_1,-0.125
0.0306900145371677,0.0162610230305268,DRN,GLM_0S5.3,contr_1,-0.03571428571428581
0.0289613506853231,0.016289431024048,DRN,GLM_0S5.3,contr_1,0.05357142857142838
0.027005225624310802,0.0162970664434358,DRN,GLM_0S5.3,contr_1,0.1428571428571428
0.0248579398681625,0.0162838118938855,DRN,GLM_0S5.3,contr_1,0.2321428571428572
0.0225578045211869,0.016250353267538,DRN,GLM_0S5.3,contr_1,0.3214285714285716
0.0201430574515046,0.0161998557430266,DRN,GLM_0S5.3,contr_1,0.4107142857142856
0.0176506296101147,0.016137041785097,DRN,GLM_0S5.3,contr_1,0.5
0.015125242845725,0.0160670486558339,DRN,GLM_0S5.3,contr_1,0.5892857142857144
0.012620101919306,0.0159944773063814,DRN,GLM_0S5.3,contr_1,0.6785714285714284
0.0101842623459772,0.0159231210269851,DRN,GLM_0S5.3,contr_1,0.7678571428571432
0.00786279388563157,0.0158570934072127,DRN,GLM_0S5.3,contr_1,0.8571428571428568
0.00569678362425273,0.0157994615750008,DRN,GLM_0S5.3,contr_1,0.9464285714285716
0.00372130309816352,0.0157527951493729,DRN,GLM_0S5.3,contr_1,1.0357142857142856
0.00196673914187586,0.0157192095161981,DRN,GLM_0S5.3,contr_1,1.125
4.55449359835083e-4,0.0157010182993872,DRN,GLM_0S5.3,contr_1,1.2142857142857144
-7.94387933947883e-4,0.0157007736568822,DRN,GLM_0S5.3,contr_1,1.3035714285714284
-0.00176963762574969,0.0157199328241494,DRN,GLM_0S5.3,contr_1,1.3928571428571432
-0.00246647896505562,0.0157585745001533,DRN,GLM_0S5.3,contr_1,1.4821428571428568
-0.00288954153036247,0.015815297405993,DRN,GLM_0S5.3,contr_1,1.5714285714285716
-0.00305185207167163,0.0158869049156074,DRN,GLM_0S5.3,contr_1,1.6607142857142856
-0.00297070282100992,0.0159691901624545,DRN,GLM_0S5.3,contr_1,1.75
-0.00266263699353554,0.0160560406622134,DRN,GLM_0S5.3,contr_1,1.8392857142857144
-0.00214650856366174,0.0161413478988771,DRN,GLM_0S5.3,contr_1,1.9285714285714284
-0.00144163716710078,0.0162188794740953,DRN,GLM_0S5.3,contr_1,2.0178571428571432
-5.68133911326793e-4,0.0162846116283546,DRN,GLM_0S5.3,contr_1,2.1071428571428568
4.53189651366288e-4,0.0163360882317739,DRN,GLM_0S5.3,contr_1,2.196428571428571
0.00160159939514214,0.0163725454730898,DRN,GLM_0S5.3,contr_1,2.2857142857142856
0.00284871192573221,0.0163946298748043,DRN,GLM_0S5.3,contr_1,2.375
0.00415671434026837,0.0164049433806398,DRN,GLM_0S5.3,contr_1,2.4642857142857144
0.00549106731728806,0.0164076765008004,DRN,GLM_0S5.3,contr_1,2.553571428571429
0.00681825844571993,0.0164065085863798,DRN,GLM_0S5.3,contr_1,2.6428571428571432
0.00810546623233865,0.0164046073801629,DRN,GLM_0S5.3,contr_1,2.7321428571428568
0.00932438007950175,0.0164052339763257,DRN,GLM_0S5.3,contr_1,2.821428571428571
0.0104496941409365,0.0164110588456118,DRN,GLM_0S5.3,contr_1,2.9107142857142856
0.0114612554895072,0.0164232532268677,DRN,GLM_0S5.3,contr_1,3
0.0123439437836992,0.0164413533358174,DRN,GLM_0S5.3,contr_1,3.0892857142857135
0.0130880834425412,0.0164641048186316,DRN,GLM_0S5.3,contr_1,3.178571428571429
0.0136914950545291,0.0164890487256666,DRN,GLM_0S5.3,contr_1,3.2678571428571432
0.0141557412423197,0.0165133791200945,DRN,GLM_0S5.3,contr_1,3.3571428571428568
0.0144859516880446,0.0165344151420854,DRN,GLM_0S5.3,contr_1,3.446428571428571
0.0146909697811242,0.0165495040716211,DRN,GLM_0S5.3,contr_1,3.5357142857142865
0.0147795830067341,0.016556175965758,DRN,GLM_0S5.3,contr_1,3.625
0.0147572074934729,0.0165510787102724,DRN,GLM_0S5.3,contr_1,3.7142857142857135
0.0146280532460403,0.0165319143273247,DRN,GLM_0S5.3,contr_1,3.803571428571429
0.014397776075702,0.0164956555929977,DRN,GLM_0S5.3,contr_1,3.8928571428571432
0.0140751022346438,0.0164382036902808,DRN,GLM_0S5.3,contr_1,3.9821428571428568
0.0136705376869115,0.0163555927949911,DRN,GLM_0S5.3,contr_1,4.071428571428571
0.0132008796436114,0.0162448308963764,DRN,GLM_0S5.3,contr_1,4.1607142857142865
0.0126867910509482,0.0161042774791055,DRN,GLM_0S5.3,contr_1,4.25
0.0121430617770457,0.0159342914924353,DRN,GLM_0S5.3,contr_1,4.3392857142857135
0.0115847191280951,0.0157372139396789,DRN,GLM_0S5.3,contr_1,4.428571428571429
0.0110301518260278,0.0155176635454205,DRN,GLM_0S5.3,contr_1,4.517857142857143
0.0104947495596279,0.0152810115192596,DRN,GLM_0S5.3,contr_1,4.607142857142857
0.00999106195819963,0.0150340101714777,DRN,GLM_0S5.3,contr_1,4.696428571428571
0.00952776617398263,0.0147847839431321,DRN,GLM_0S5.3,contr_1,4.7857142857142865
0.00910793065965852,0.0145432700928501,DRN,GLM_0S5.3,contr_1,4.875
0.00873136823627186,0.0143184488702489,DRN,GLM_0S5.3,contr_1,4.9642857142857135
0.00839455454776622,0.0141181461653478,DRN,GLM_0S5.3,contr_1,5.053571428571429
0.00809533032334381,0.013948655015815,DRN,GLM_0S5.3,contr_1,5.142857142857143
0.00783049091289275,0.0138139464803767,DRN,GLM_0S5.3,contr_1,5.232142857142857
0.00759557468401428,0.0137158604337188,DRN,GLM_0S5.3,contr_1,5.321428571428571
0.00738748248569925,0.0136536459562086,DRN,GLM_0S5.3,contr_1,5.4107142857142865
0.00721108822698004,0.013624806343082,DRN,GLM_0S5.3,contr_1,5.5
0.00707229924237416,0.0136228047740001,DRN,GLM_0S5.3,contr_1,5.5892857142857135
0.00697076881626444,0.0136386734057367,DRN,GLM_0S5.3,contr_1,5.678571428571429
0.00690032405867368,0.0136630834050482,DRN,GLM_0S5.3,contr_1,5.767857142857143
0.00685135055579686,0.0136860909362687,DRN,GLM_0S5.3,contr_1,5.857142857142857
0.0068108362380253,0.0136986392564517,DRN,GLM_0S5.3,contr_1,5.946428571428571
0.0067694994410327,0.0136926726846469,DRN,GLM_0S5.3,contr_1,6.0357142857142865
0.00672615558342629,0.0136617192294564,DRN,GLM_0S5.3,contr_1,6.125
0.00667788635544215,0.0136009832744906,DRN,GLM_0S5.3,contr_1,6.2142857142857135
0.00661794075814369,0.0135065694941189,DRN,GLM_0S5.3,contr_1,6.303571428571429
0.00654352144283532,0.0133771969112244,DRN,GLM_0S5.3,contr_1,6.392857142857142
0.00645569589679032,0.0132151670283201,DRN,GLM_0S5.3,contr_1,6.482142857142858
0.0063592201155512,0.0130241050225403,DRN,GLM_0S5.3,contr_1,6.571428571428571
0.00626286543571161,0.0128085783356092,DRN,GLM_0S5.3,contr_1,6.6607142857142865
0.00617275175826517,0.0125759969748302,DRN,GLM_0S5.3,contr_1,6.75
0.00609421265704777,0.012335640400494,DRN,GLM_0S5.3,contr_1,6.8392857142857135
0.00602892436018982,0.0120977023855988,DRN,GLM_0S5.3,contr_1,6.928571428571429
0.00598106492308614,0.0118732386377235,DRN,GLM_0S5.3,contr_1,7.017857142857142
0.00595389660402052,0.0116741605899898,DRN,GLM_0S5.3,contr_1,7.107142857142858
0.00594814154920325,0.0115128440830004,DRN,GLM_0S5.3,contr_1,7.196428571428571
0.0059566737956653,0.0113995898358702,DRN,GLM_0S5.3,contr_1,7.2857142857142865
0.00597198659492556,0.0113426942047931,DRN,GLM_0S5.3,contr_1,7.375
0.00599968568893505,0.0113473426723946,DRN,GLM_0S5.3,contr_1,7.4642857142857135
0.00605179485949508,0.0114147052498875,DRN,GLM_0S5.3,contr_1,7.553571428571429
0.00614380734910097,0.011541927066759,DRN,GLM_0S5.3,contr_1,7.642857142857142
0.00629183011074881,0.0117226340078999,DRN,GLM_0S5.3,contr_1,7.732142857142858
0.00650499136437601,0.0119472313863844,DRN,GLM_0S5.3,contr_1,7.821428571428571
0.00678592772394532,0.0122041795544089,DRN,GLM_0S5.3,contr_1,7.9107142857142865
0.0071386458646321,0.0124816138291724,DRN,GLM_0S5.3,contr_1,8
