GLM,contrast,timelock,region,peak
GLM_0S7.1,contr1,offer-timelocked,MBD,-0.0299394871397661
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0210651902867596
GLM_0S7.1,contr1,offer-timelocked,LC,0.00524227828659488
GLM_0S7.1,contr1,offer-timelocked,MS,-0.0835293526749392
GLM_0S7.1,contr1,offer-timelocked,MBD,0.0735590318385608
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0309514922475908
GLM_0S7.1,contr1,offer-timelocked,LC,-0.155304868360719
GLM_0S7.1,contr1,offer-timelocked,MS,-0.0377312153120951
GLM_0S7.1,contr1,offer-timelocked,MBD,-0.0524868998682432
GLM_0S7.1,contr1,offer-timelocked,DRN,0.020315328043684
GLM_0S7.1,contr1,offer-timelocked,LC,0.0105663517240422
GLM_0S7.1,contr1,offer-timelocked,MS,0.0682956113972205
GLM_0S7.1,contr1,offer-timelocked,MBD,-0.0964143088538852
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0470277831991634
GLM_0S7.1,contr1,offer-timelocked,LC,-0.106787598244078
GLM_0S7.1,contr1,offer-timelocked,MS,-0.0603953030736063
GLM_0S7.1,contr1,offer-timelocked,MBD,-0.0156342198681057
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.120200787402467
GLM_0S7.1,contr1,offer-timelocked,LC,-0.0518452268289271
GLM_0S7.1,contr1,offer-timelocked,MS,-0.0508424733978609
GLM_0S7.1,contr1,offer-timelocked,MBD,-0.171035252787706
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0422366170622054
GLM_0S7.1,contr1,offer-timelocked,LC,0.00578316841847078
GLM_0S7.1,contr1,offer-timelocked,MS,0.00624872141661219
GLM_0S7.1,contr1,offer-timelocked,MBD,0.0348375644224917
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0401564237889287
GLM_0S7.1,contr1,offer-timelocked,LC,0.0155785840947614
GLM_0S7.1,contr1,offer-timelocked,MS,0.0263263298016891
GLM_0S7.1,contr1,offer-timelocked,MBD,0.0428230538620589
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0515787004808197
GLM_0S7.1,contr1,offer-timelocked,LC,0.107153222385467
GLM_0S7.1,contr1,offer-timelocked,MS,0.170954820441538
GLM_0S7.1,contr1,offer-timelocked,MBD,0.0265570710843384
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0423479314689788
GLM_0S7.1,contr1,offer-timelocked,LC,-0.111329327840178
GLM_0S7.1,contr1,offer-timelocked,MS,0.0581473352603782
GLM_0S7.1,contr1,offer-timelocked,MBD,0.0258521265947511
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0201570960173196
GLM_0S7.1,contr1,offer-timelocked,LC,-0.0517465500261242
GLM_0S7.1,contr1,offer-timelocked,MS,0.0425112846340576
GLM_0S7.1,contr1,offer-timelocked,MBD,-0.0315601390992417
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0823472070215442
GLM_0S7.1,contr1,offer-timelocked,LC,0.0634518386156461
GLM_0S7.1,contr1,offer-timelocked,MS,0.081861058639361
GLM_0S7.1,contr1,offer-timelocked,MBD,-0.0351151219009085
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0116686047033881
GLM_0S7.1,contr1,offer-timelocked,LC,-0.0188120363681097
GLM_0S7.1,contr1,offer-timelocked,MS,0.0431013820733868
GLM_0S7.1,contr1,offer-timelocked,MBD,-0.0210100841149024
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0213500303082092
GLM_0S7.1,contr1,offer-timelocked,LC,0.0374280598172917
GLM_0S7.1,contr1,offer-timelocked,MS,0.0740285058978772
