GLM,contrast,timelock,region,peak
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0210651902867596
GLM_0S7.1,contr1,offer-timelocked,MS,-0.0835293526749392
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0309514922475908
GLM_0S7.1,contr1,offer-timelocked,MS,-0.0377312153120951
GLM_0S7.1,contr1,offer-timelocked,DRN,0.020315328043684
GLM_0S7.1,contr1,offer-timelocked,MS,0.0682956113972205
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0470277831991634
GLM_0S7.1,contr1,offer-timelocked,MS,-0.0603953030736063
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.120200787402467
GLM_0S7.1,contr1,offer-timelocked,MS,-0.0508424733978609
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0422366170622054
GLM_0S7.1,contr1,offer-timelocked,MS,0.00624872141661219
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0401564237889287
GLM_0S7.1,contr1,offer-timelocked,MS,0.0263263298016891
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0515787004808197
GLM_0S7.1,contr1,offer-timelocked,MS,0.170954820441538
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0423479314689788
GLM_0S7.1,contr1,offer-timelocked,MS,0.0581473352603782
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0201570960173196
GLM_0S7.1,contr1,offer-timelocked,MS,0.0425112846340576
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0823472070215442
GLM_0S7.1,contr1,offer-timelocked,MS,0.081861058639361
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0116686047033881
GLM_0S7.1,contr1,offer-timelocked,MS,0.0431013820733868
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0213500303082092
GLM_0S7.1,contr1,offer-timelocked,MS,0.0740285058978772
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0523178224192715
GLM_0S7.1,contr1,offer-timelocked,MS,0.0359632487847241
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0142910616243875
GLM_0S7.1,contr1,offer-timelocked,MS,0.0887386555834682
GLM_0S7.1,contr1,offer-timelocked,DRN,0.091362914239188
GLM_0S7.1,contr1,offer-timelocked,MS,0.0448625160046806
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.150840250774797
GLM_0S7.1,contr1,offer-timelocked,MS,0.01964553671554
GLM_0S7.1,contr1,offer-timelocked,DRN,0.02776474165845
GLM_0S7.1,contr1,offer-timelocked,MS,2.99986747601007e-4
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0669395088551641
GLM_0S7.1,contr1,offer-timelocked,MS,-0.0829118740876111
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0195005598069575
GLM_0S7.1,contr1,offer-timelocked,MS,0.0178994572335509
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.014866792714791
GLM_0S7.1,contr1,offer-timelocked,MS,0.0653476651538663
GLM_0S7.1,contr1,offer-timelocked,DRN,0.0213326851498454
GLM_0S7.1,contr1,offer-timelocked,MS,0.0821396741692041
GLM_0S7.1,contr1,offer-timelocked,DRN,0.00754727709282478
GLM_0S7.1,contr1,offer-timelocked,MS,0.0775675894968718
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.130325449838129
GLM_0S7.1,contr1,offer-timelocked,MS,-0.0318451742821994
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.0524543637324592
GLM_0S7.1,contr1,offer-timelocked,MS,0.102499687798297
GLM_0S7.1,contr1,offer-timelocked,DRN,-0.00938494645816818
GLM_0S7.1,contr1,offer-timelocked,MS,0.101163337405427
