subject,p_accept_10_diff,dACC_H1,constant
103,0.058516196,-0.023938644,1
104,0.395238095,-0.044705167,1
106,0.104774536,-0.068980077,1
107,0.161220044,-0.005431248,1
109,-0.27090301,0.195947508,1
110,0.151851852,-6.44717e-4,1
111,-0.288461538,0.002752239,1
114,0.187782805,0.046798958,1
115,0.160326087,-0.023123409,1
116,0.126344086,-0.029347559,1
117,0.087533156,0.001301415,1
119,-0.096774194,-0.095377142,1
121,0.165517241,0.100071597,1
122,-0.081081081,-0.075397155,1
123,0,-0.14432851,1
124,0.101648352,-0.045465194,1
125,0.26674938,-0.025891686,1
128,-0.10962963,0.027888014,1
130,0.058823529,-0.088068317,1
131,0.146583851,-0.037621293,1
132,-0.074074074,-0.012638942,1
133,-0.056451613,0.022904962,1
135,0.002962963,0.090453313,1
