subject,p_accept_10_diff,AI_H1,constant
103,0.058516196,0.001675035,1
104,0.395238095,-0.008446036,1
106,0.104774536,-0.084488224,1
107,0.161220044,0.005386344,1
109,-0.27090301,-0.066713164,1
110,0.151851852,-0.086478277,1
111,-0.288461538,-0.071282851,1
114,0.187782805,-0.019190021,1
115,0.160326087,-0.026041606,1
116,0.126344086,0.024342917,1
117,0.087533156,0.013486415,1
119,-0.096774194,-0.044354354,1
121,0.165517241,-0.068519882,1
122,-0.081081081,0.066540823,1
123,0,-0.033850157,1
124,0.101648352,-0.012712674,1
125,0.26674938,-0.153028803,1
128,-0.10962963,0.072860356,1
130,0.058823529,0.010706714,1
131,0.146583851,0.004210052,1
132,-0.074074074,-0.063152052,1
133,-0.056451613,0.025397926,1
135,0.002962963,-0.041545793,1
