subject,region,H1_distance_change
103,dACC_H1,-0.023938644
103,dmPFC_H1,0.029718672
103,latFP_H1,-0.027341088
103,pgACC_H1,0.046526045
103,vpgACC_H1,0.005874506
103,AI_H1,0.001675035
104,dACC_H1,-0.044705167
104,dmPFC_H1,0.015796494
104,latFP_H1,-0.060590809
104,pgACC_H1,0.016398816
104,vpgACC_H1,-0.006122514
104,AI_H1,-0.008446036
106,dACC_H1,-0.068980077
106,dmPFC_H1,-0.076526484
106,latFP_H1,-0.058693515
106,pgACC_H1,-0.026226988
106,vpgACC_H1,0.004508243
106,AI_H1,-0.084488224
107,dACC_H1,-0.005431248
107,dmPFC_H1,0.035189191
107,latFP_H1,0.138177097
107,pgACC_H1,0.002146915
107,vpgACC_H1,-0.005765656
107,AI_H1,0.005386344
109,dACC_H1,0.195947508
109,dmPFC_H1,-0.120058042
109,latFP_H1,0.073599369
109,pgACC_H1,-0.015713257
109,vpgACC_H1,-0.008578708
109,AI_H1,-0.066713164
110,dACC_H1,-6.44717e-4
110,dmPFC_H1,-0.029330561
110,latFP_H1,0.015418821
110,pgACC_H1,-0.04141641
110,vpgACC_H1,-0.044414328
110,AI_H1,-0.086478277
111,dACC_H1,0.002752239
111,dmPFC_H1,-0.0494971
111,latFP_H1,0.114517394
111,pgACC_H1,-0.024342102
111,vpgACC_H1,-0.016146475
111,AI_H1,-0.071282851
114,dACC_H1,0.046798958
114,dmPFC_H1,-0.061585835
114,latFP_H1,-0.016986245
114,pgACC_H1,-0.00912403
114,vpgACC_H1,0.035593512
114,AI_H1,-0.019190021
115,dACC_H1,-0.023123409
115,dmPFC_H1,0.088975565
115,latFP_H1,0.0260855
115,pgACC_H1,0.090614014
115,vpgACC_H1,0.056278693
115,AI_H1,-0.026041606
116,dACC_H1,-0.029347559
116,dmPFC_H1,0.074504659
116,latFP_H1,0.100603501
116,pgACC_H1,0.072076971
116,vpgACC_H1,0.0591848
116,AI_H1,0.024342917
117,dACC_H1,0.001301415
117,dmPFC_H1,-0.028976661
117,latFP_H1,-0.001874765
117,pgACC_H1,0.011669431
117,vpgACC_H1,-0.027800118
117,AI_H1,0.013486415
119,dACC_H1,-0.095377142
119,dmPFC_H1,0.033352711
119,latFP_H1,-0.087250667
119,pgACC_H1,0.096890156
119,vpgACC_H1,0.028598005
119,AI_H1,-0.044354354
121,dACC_H1,0.100071597
121,dmPFC_H1,0.019727707
121,latFP_H1,0.026712547
121,pgACC_H1,-0.064642621
121,vpgACC_H1,5.85976e-4
121,AI_H1,-0.068519882
122,dACC_H1,-0.075397155
122,dmPFC_H1,0.013980871
122,latFP_H1,-0.024316839
122,pgACC_H1,0.006710261
122,vpgACC_H1,-0.005723368
122,AI_H1,0.066540823
123,dACC_H1,-0.14432851
123,dmPFC_H1,0.017797306
123,latFP_H1,-0.014179866
123,pgACC_H1,0.001268484
123,vpgACC_H1,0.001480681
123,AI_H1,-0.033850157
124,dACC_H1,-0.045465194
124,dmPFC_H1,-0.060637441
124,latFP_H1,-0.090520172
124,pgACC_H1,-0.005541664
124,vpgACC_H1,-0.021699937
124,AI_H1,-0.012712674
125,dACC_H1,-0.025891686
125,dmPFC_H1,-0.00534331
125,latFP_H1,0.008408514
125,pgACC_H1,0.021342674
125,vpgACC_H1,0.089880592
125,AI_H1,-0.153028803
128,dACC_H1,0.027888014
128,dmPFC_H1,-0.037531801
128,latFP_H1,-0.019596811
128,pgACC_H1,0.018099237
128,vpgACC_H1,0.061970605
128,AI_H1,0.072860356
130,dACC_H1,-0.088068317
130,dmPFC_H1,-0.126968283
130,latFP_H1,-0.097511113
130,pgACC_H1,0.03761895
130,vpgACC_H1,0.002471458
130,AI_H1,0.010706714
131,dACC_H1,-0.037621293
131,dmPFC_H1,-0.060329404
131,latFP_H1,-0.017549615
131,pgACC_H1,0.006847925
131,vpgACC_H1,3.20439e-4
131,AI_H1,0.004210052
132,dACC_H1,-0.012638942
132,dmPFC_H1,0.053144899
132,latFP_H1,0.162425025
132,pgACC_H1,-0.053452381
132,vpgACC_H1,0.054639395
132,AI_H1,-0.063152052
133,dACC_H1,0.022904962
133,dmPFC_H1,-0.060221899
133,latFP_H1,-0.003890781
133,pgACC_H1,0.008072453
133,vpgACC_H1,-0.020231827
133,AI_H1,0.025397926
135,dACC_H1,0.090453313
135,dmPFC_H1,-0.068876085
135,latFP_H1,-0.125974616
135,pgACC_H1,0.010369273
135,vpgACC_H1,0.071184682
135,AI_H1,-0.041545793
