subject,region,H2_distance_change
103,dACC_H2,-0.033264522
103,dmPFC_H2,-0.052486087
103,latFP_H2,0.006862753
103,pgACC_H2,-0.078044511
103,vpgACC_H2,-0.124838457
103,AI_H2,0.029872658
104,dACC_H2,0.041838137
104,dmPFC_H2,0.099194436
104,latFP_H2,0.058997245
104,pgACC_H2,0.046774292
104,vpgACC_H2,0.005902209
104,AI_H2,0.007460454
106,dACC_H2,0.031676658
106,dmPFC_H2,0.015450109
106,latFP_H2,-0.085621853
106,pgACC_H2,-0.078232362
106,vpgACC_H2,-0.03099047
106,AI_H2,-0.015063188
107,dACC_H2,-0.010002553
107,dmPFC_H2,-0.010493612
107,latFP_H2,-0.033077882
107,pgACC_H2,-0.031720754
107,vpgACC_H2,-0.022214768
107,AI_H2,-0.044756334
109,dACC_H2,-0.246412349
109,dmPFC_H2,-0.134685368
109,latFP_H2,-0.067698361
109,pgACC_H2,-0.149852896
109,vpgACC_H2,0.009375488
109,AI_H2,-0.163184339
110,dACC_H2,0.107379322
110,dmPFC_H2,-0.030565466
110,latFP_H2,0.033747524
110,pgACC_H2,0.121037357
110,vpgACC_H2,0.034591859
110,AI_H2,0.101164466
111,dACC_H2,-0.127455663
111,dmPFC_H2,0.06730156
111,latFP_H2,-0.009309031
111,pgACC_H2,0.002751735
111,vpgACC_H2,0.007680081
111,AI_H2,-0.132296994
114,dACC_H2,-0.012884655
114,dmPFC_H2,-0.048042095
114,latFP_H2,0.003814387
114,pgACC_H2,0.030790121
114,vpgACC_H2,-0.011089524
114,AI_H2,0.041922175
115,dACC_H2,0.133810262
115,dmPFC_H2,0.061646873
115,latFP_H2,-0.018640751
115,pgACC_H2,0.159915847
115,vpgACC_H2,0.058435346
115,AI_H2,0.04511277
116,dACC_H2,0.002620789
116,dmPFC_H2,-0.008511238
116,latFP_H2,-0.123904864
116,pgACC_H2,-0.039524567
116,vpgACC_H2,-0.089506927
116,AI_H2,-0.015106921
117,dACC_H2,0.001947417
117,dmPFC_H2,-0.088476815
117,latFP_H2,-0.051400158
117,pgACC_H2,-0.005861131
117,vpgACC_H2,0.011402486
117,AI_H2,0.03304627
119,dACC_H2,-0.028851479
119,dmPFC_H2,-0.116507181
119,latFP_H2,-0.14337782
119,pgACC_H2,-0.002888483
119,vpgACC_H2,-0.060985495
119,AI_H2,-0.078492041
121,dACC_H2,-0.008677803
121,dmPFC_H2,-0.029215786
121,latFP_H2,-0.027558566
121,pgACC_H2,-0.07270349
121,vpgACC_H2,-0.050500874
121,AI_H2,0.003129523
122,dACC_H2,-0.162722077
122,dmPFC_H2,0.039808411
122,latFP_H2,-0.15013163
122,pgACC_H2,0.02152194
122,vpgACC_H2,5.40476e-4
122,AI_H2,-0.086981902
123,dACC_H2,-0.14132164
123,dmPFC_H2,-0.080528909
123,latFP_H2,0.031024991
123,pgACC_H2,-0.060351733
123,vpgACC_H2,-0.073293763
123,AI_H2,-0.109932153
124,dACC_H2,0.182226647
124,dmPFC_H2,0.00804051
124,latFP_H2,0.100781229
124,pgACC_H2,-0.06309672
124,vpgACC_H2,0.073442691
124,AI_H2,-0.087470773
125,dACC_H2,0.003399333
125,dmPFC_H2,-0.043600296
125,latFP_H2,0.14926932
125,pgACC_H2,-0.032001553
125,vpgACC_H2,-0.12834265
125,AI_H2,0.041608211
128,dACC_H2,0.009855686
128,dmPFC_H2,-0.057175638
128,latFP_H2,0.079962224
128,pgACC_H2,-0.044949444
128,vpgACC_H2,-0.005897501
128,AI_H2,-0.004061572
130,dACC_H2,0.107548818
130,dmPFC_H2,0.14474186
130,latFP_H2,-0.022465177
130,pgACC_H2,-0.039450946
130,vpgACC_H2,0.085037764
130,AI_H2,0.065753809
131,dACC_H2,-0.036787758
131,dmPFC_H2,0.109599299
131,latFP_H2,0.010026721
131,pgACC_H2,-0.013449384
131,vpgACC_H2,0.029041479
131,AI_H2,0.027270637
132,dACC_H2,-0.007063334
132,dmPFC_H2,0.098164937
132,latFP_H2,0.085755584
132,pgACC_H2,0.087758335
132,vpgACC_H2,0.042892897
132,AI_H2,0.02786309
133,dACC_H2,-0.030236
133,dmPFC_H2,-0.004783313
133,latFP_H2,-0.094208073
133,pgACC_H2,-0.032299389
133,vpgACC_H2,-0.068480309
133,AI_H2,-0.062226308
135,dACC_H2,-0.033349077
135,dmPFC_H2,0.0013747
135,latFP_H2,0.009140288
135,pgACC_H2,-0.102287359
135,vpgACC_H2,-0.077273158
135,AI_H2,0.006661325
