subject,p_accept_10_diff,AI_H2,constant
103,0.058516196,0.025992837,1
104,0.395238095,0.036405825,1
106,0.104774536,-0.015083318,1
107,0.161220044,-0.020914419,1
109,-0.27090301,-0.001550349,1
110,0.151851852,0.037160135,1
111,-0.288461538,-0.086753059,1
114,0.187782805,0.033375498,1
115,0.160326087,0.00474961,1
116,0.126344086,-0.030613674,1
117,0.087533156,0.025950185,1
119,-0.096774194,-0.059833063,1
121,0.165517241,-0.007533111,1
122,-0.081081081,-0.077871948,1
123,0,-0.086880496,1
124,0.101648352,0.007171159,1
125,0.26674938,0.0530793,1
128,-0.10962963,3.92931e-4,1
130,0.058823529,0.048435546,1
131,0.146583851,0.013817276,1
132,-0.074074074,0.048826619,1
133,-0.056451613,-0.046759169,1
135,0.002962963,0.00521623,1
